id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
55,1,3,4,1,63,1,1,0,0,0.10650887,0.02180377,74808,1635.0289,0,53,0,0,0,6,0,0,1,0,0,0,0,0,0.51393962
56,0,3,0,0,63,5,0.7955097,0,0.20449029,0.22301024,0.02313625,73403,54.053444,0,45,1,0,0,6,0,0,0,0,0,0,0,0,0.39535844
57,0,2,8,1,60,2,0,0,1,0.06081081,0.07197943,37083,4.001791,0,33.5,1,1,1,4,0,0,0,0,0,0,0,0,0.42150649
58,0,3,3,1,78,2,0.91910052,0,0.08089945,0.25410697,0.05022831,63578,27.444939,0,47.7,0,1,1,3,0,0,0,0,0,0,0,0,0.51846558
59,1,3,1,1,36,1,1,0,0,0.1786691,0.02166065,44750,3592.8645,0,57.2,0,0,0,9,0,1,0,0,0,0,0,0,0.60568649
60,1,2,5,1,58,5,1,0,0,0.30434781,0.0268595,96208,609.64972,0,38.7,0,1,1,10,0,1,0,0,0,0,1,0,0.44209072
61,1,1,2,0,53,1,1,0,0,0.00834725,0.13881402,23983,3217.5181,0,69.5,0,0,1,6,0,0,0,0,0,0,0,0,0.59449029
62,0,3,9,1,62,1,1,0,0,0.11630559,0.03004292,57813,401.13202,0,54.4,1,1,0,10,0,1,0,0,0,0,0,0,0.56377119
63,,3,2,0,63,2,0.51328725,0,0.48671278,0.27171108,0.02478699,80763,4.4076586,0,39.2,0,1,0,5,0,0,0,0,0,0,0,0,0.31936076
64,1,2,5,0,66,1,1,0,0,0.26075387,0.02665051,77557,350.43677,0,36.9,1,1,1,9,0,0,0,0,0,0,0,0,0.42180216
65,,3,2,0,44,1,1,0,0,0.23307437,0.01355422,37432,2111.5918,1,52,0,0,0,2,0,0,0,0,0,0,0,0,0.54796916
66,,3,8,1,82,2,1,0,0,0.31391585,0,79578,258.94427,0,56.1,0,0,0,1,0,1,0,0,0,0,0,0,0.48408371
67,0,3,2,1,34,2,0.9029218,0,0.09707823,0.1105559,0.05037313,57316,94.149086,0,56.5,0,0,0,5,0,0,0,0,0,0,0,0,0.55336088
68,0,2,5,0,57,2,1,0,0,0.26075387,0.02665051,77557,350.43677,0,42.8,1,0,1,7,0,0,0,0,0,0,0,0,0.42432463
69,0,3,0,0,66,1,0,0.62857145,0.37142858,0.07793523,0,58421,5.6292324,0,43.2,0,0,0,3,1,0,0,0,0,0,0,0,0.29286265
70,1,2,7,0,29,1,1,0,0,0.12958227,0.05981941,33348,3237.0291,1,63.8,0,0,0,7,1,0,0,0,0,0,0,0,0.5688982
71,1,3,5,1,41,1,1,0,0,0.14329737,0.03157895,61542,3475.9155,0,51.7,0,0,0,4,0,0,0,0,0,0,1,0,0.55744892
72,,2,6,1,31,5,1,0,0,0.30566037,0.01828154,76200,1513.7197,0,51.8,0,0,0,10,0,0,0,0,0,0,0,0,0.50899643
73,,3,3,0,62,1,0.68516284,0,0.31483716,0.19401947,0.03808244,70129,183.87068,1,53.9,1,1,1,4,0,0,0,0,0,0,0,0,0.38432312
74,0,3,9,1,69,2,1,0,0,0.18195957,0.0171875,45000,325.69781,0,53.9,0,0,1,8,0,0,0,0,0,0,0,0,0.59576595
75,0,3,1,1,50,5,1,0,0,0.25384617,0.1,120959,1813.7541,0,52.6,0,0,1,7,0,0,1,0,0,0,0,0,0.37520808
